Event Name,Venue Name,Event Date,Section,Row,Notes,Stock Type,Quantity,Price
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",325,8,"XFER, XFER",Electronic Transfer,2,254.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",121,12,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,259.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",107,21,XFER,Electronic Transfer,4,291.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",118,12,"XFER, XFER",Electronic Transfer,4,295.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",105,20,"XFER, XFER",Electronic Transfer,4,299.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",105,17,"XFER, XFER",Electronic Transfer,4,314.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",120,20,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,4,336.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",108,18,mobile,Electronic Transfer,3,360.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",117,10,XFER,Electronic Transfer,4,380.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",119,18,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,405.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",117,17,"XFER, XFER",Electronic Transfer,4,409.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",324,8,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,412.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",118,14,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,3,417.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",118,23,"XFER, XFER",Electronic Transfer,2,449.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",325,1,"XFER, XFER",Electronic Transfer,2,457.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",118,14,"XFER, XFER",Electronic Transfer,4,489.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",118,17,"XFER, XFER",Electronic Transfer,4,489.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",108,21,"XFER, XFER",Electronic Transfer,4,489.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",118,20,"XFER, XFER",Electronic Transfer,4,570.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",428,2,Xfer MOBILE ENTRY. Scan your tickets from your phone for this event. Do not print these tickets. Ready to ship by 4/3/2021,Electronic Transfer,2,16.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",430,4,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,4,17.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",420C,3,XFER. Ready to ship by 4/3/2021,Electronic Transfer,2,23.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",413,4,Seats 9 - 10. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Ready to ship by 3/29/2021,Electronic Transfer,2,23.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",427,10,Seats 11 - 18. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Ready to ship by 3/29/2021,Electronic Transfer,8,23.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",433,1,Ready to ship by 4/3/2021.,E-Tickets,1,27.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",434A,1,XFER. Ready to ship by 4/3/2021,Electronic Transfer,1,27.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",406,1,Ready to ship by 4/3/2021.,E-Tickets,1,27.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",433,10,XFER. Ready to ship by 4/3/2021,Electronic Transfer,1,27.00
New York Yankees vs. Baltimore Orioles,Yankee Stadium,"Mon, Apr 05 2021 6:35 PM",405,1,Ready to ship by 4/3/2021.,E-Tickets,1,27.00
